bid,单位面积穗数(万),千粒重(g),每穗粒数,亩产量(kg)
1,38.0,48.6,34.6,638.99
2,45.2,47.1,29.8,634.42
3,40.2,41.7,35.6,596.78
4,38.2,46.4,33,584.92
5,44.95,41.10,31.65,584.72
6,43.3,43.2,34.3,641.60
7,39.6,43.7,36.8,636.83
8,46.3,43.9,32.7,664.65
9,43.3,41.4,35.1,629.21
10,40.15,47.95,32.55,626.65
11,38.0,44.4,34.3,578.71
12,36.4,45.1,34.4,564.72
13,42.8,37.5,35.5,569.77
14,42.9,39.6,37.1,630.27
15,42.7,40.3,32,550.66
17,38,45,34.1,583.11
18,42.5,39.0,37.7,624.88
19,32.4,44.1,37.7,538.67
20,45.9,44.2,33.5,679.64
21,41.6,41.4,33.5,576.95
22,44,43.5,28.8,551.23
23,37.80,44.05,31.60,526.17
24,43.60,46.25,31.65,638.22
26,33.4,47.0,35.2,552.57
27,40.5,40.0,37.2,602.64
28,42.65,40.00,33.35,568.95
31,42.2,40.2,31.1,527.59
33,38.1,42.3,32,515.72
34,37.95,44.45,33.35,562.57
35,38.6,43.2,36.1,601.97
36,39.6,37.4,37,547.98
37,44.0,47.6,27.1,567.58
38,46.8,40.1,30.9,579.89
39,34.8,46.6,38.0,616.24
40,40.2,42.6,37.3,638.77
42,32.4,49.4,38.8,621.02
43,42.2,44.9,35.6,674.54
44,37.1,45.2,34.4,576.86
45,38.7,39.2,36.7,556.75
46,47.2,36.8,35.1,609.67
47,43.50,43.50,36.50,690.67
48,39.5,43.5,37.4,642.63
49,32.9,41.2,32.7,443.24
50,38,46.9,32.1,572.09
52,42.3,44.1,33.3,621.19
53,41.5,43.8,30.8,559.85
55,41.70,43.70,33.20,605.00
56,43.8,41.3,38.9,703.68
57,36.0,38.3,36.1,497.75
58,44.20,40.90,34.85,630.01
59,42.9,40.3,35.2,608.56
60,41.45,44.80,33.35,619.30
61,32.5,45.8,45.1,671.31
62,37.6,38.2,30.7,440.95
63,40,44.2,33.8,597.58
64,40.95,48.40,33.10,656.04
65,37.3,37.1,31.0,428.99
67,39.5,42.6,35.5,597.36
68,34.2,39.0,30.8,410.81
69,45.5,42.8,33.4,650.43
70,40.8,38.4,34.7,543.65
72,44.6,45.5,31.9,647.35
73,35.10,36.75,31.35,404.39
74,37.4,41.3,38.7,597.77
77,39.1,46.4,30.1,546.09
80,36.3,41.3,31.6,473.74
81,39.95,42.25,35.20,594.14
82,39.60,46.30,34.05,624.30
83,34.7,46.5,36.3,585.72
84,40.7,43.9,32.3,577.11
85,42.0,40.2,38.8,655.10
86,48.0,42.7,29.3,600.53
87,41.1,43.5,33.7,602.51
88,32.0,40.3,39.4,508.10
91,43.85,43.40,30.55,581.39
92,41.80,44.70,32.45,606.32
93,40.8,48.5,33.6,664.88
94,39.5,48.1,35.1,666.88
95,46.1,44.5,33.8,693.39
96,37.8,48.2,33.1,603.07
97,36.2,42.1,37.7,574.56
98,37.2,47.5,34.4,607.85
99,43.30,44.90,32.15,625.05
100,40.4,40.4,36.4,594.11
101,50.0,41.8,27.6,576.84
102,40.0,43.1,36.4,627.54
103,35.3,46.7,36.6,603.35
104,47.7,40.0,31.0,591.48
106,33.30,45.50,30.05,455.30
107,41.0,44.5,34.5,629.45
108,41.35,44.15,34.60,631.66
109,37.55,50.30,34.00,642.18
110,40,39,31,483.60
111,42.9,44.1,32.9,622.43
113,40.5,42.9,32.1,557.72
115,32.4,54.7,39.3,696.51
117,43.45,40.65,32.05,566.08
118,43.2,40.6,31.3,548.98
119,28.6,41.9,42.8,512.89
120,39.5,42.8,36.1,610.31
121,42.6,37.1,37.9,598.99
123,38.60,44.05,33.85,575.56
125,41.55,48.50,31.70,638.81
126,41.5,45.0,35.4,661.10
127,36.8,40.4,38.2,567.93
128,33.6,42.0,33.0,465.70
129,40.5,46.3,31.4,588.80
130,38.65,48.15,34.55,642.97
131,37.5,35.1,33.8,444.89
132,40.9,40.5,34.5,571.48
133,38.4,38.6,33.9,502.48
134,46.3,38.7,34.9,625.34
135,45.0,35.2,33.0,522.72
136,42.60,46.50,31.15,617.05
137,40.85,45.65,32.65,608.86
139,44.65,45.55,29.80,606.07
140,31.40,49.05,31.85,490.54
141,40.9,47.9,30.4,595.57
142,40.15,43.45,35.45,618.43
143,44.21,39.9,26.6,469.22
144,39,43,27,452.79
145,36.3,51.2,35.1,652.35
146,37.7,46.7,37.9,667.26
147,42.8,44.8,32.1,615.50
148,46.5,37.0,32.6,560.88
149,44.3,41.2,37.5,684.43
150,44.0,40.3,32.0,567.42
151,43.5,41.5,35.2,635.45
152,41.7,40.9,34.1,581.59
155,39.9,35.2,39.3,551.96
156,41.30,45.50,31.95,600.39
157,32.4,37.7,39.4,481.26
158,43.10,45.80,32.20,635.62
159,40.0,39.1,32.7,511.43
160,40.3,43.8,34,600.15
161,43.5,42.9,30.6,571.04
163,35.5,44.5,40.2,635.06
164,42.7,42.7,37.0,674.62
165,35.40,41.70,32.85,484.93
168,36.4,44.8,36.4,593.58
169,40.8,45.6,33.0,613.96
171,33.3,39.2,38.6,503.87
172,41,52,27.5,586.30
173,19.48,41.3,31.5,253.43
174,48.3,38.4,35.3,654.72
175,38,41,35,545.30
176,42,44,28,517.44
177,41.7,42.0,37.8,662.03
178,41.1,43.3,35.3,628.21
179,28.7,40.75,42.4,495.88
180,37,46,30,510.60
181,43.2,43.3,30.7,574.26
182,37,40,34,503.20
183,36.75,50.80,34.30,640.35
185,40.5,35.8,38.9,564.01
186,37.30,46.10,33.00,567.44
187,34.9,51.5,33.3,598.52
188,25,45,42,472.50
189,38,40,37,562.40
190,38.45,49.80,33.65,644.33
191,32.20,47.05,33.50,507.53
192,28.96,43.8,55.23,700.56
193,44.0,39.7,36.6,639.33
194,41.3,40.7,34.5,579.91
195,38.5,42.3,34.6,563.48
196,36.5,44.5,36.9,599.35
